date,items,employeeId,customerId,totalCost,_id
Fri May 04 2012 11:22:18 GMT+1000 (Australian Eastern Standard Time),",fanta=4[$25],water=10[$200],banana=17[$2],soup=8[$1],lip stick=45[$40],bread=41[$2],apple=11[$3],coke=18[$10]",default,default,4237,07rb56mAfRTe2A2M
Sun Jul 20 2014 18:41:02 GMT+1000 (Australian Eastern Standard Time),",soup=8[$1],fanta=10[$25],lip stick=39[$40],coke=39[$10],banana=26[$2],apple=27[$3],bread=7[$2],water=16[$200]",default,default,5555,0ACkPWbZz6uykzFV
Thu Aug 07 2014 12:08:57 GMT+1000 (Australian Eastern Standard Time),",coke=9[$10],fanta=20[$25],soup=12[$1],banana=48[$2],lip stick=36[$40],bread=35[$2],apple=23[$3],water=15[$200]",default,default,5277,0AhkCccyYMvgthet
Sun Apr 14 2013 03:12:44 GMT+1000 (Australian Eastern Standard Time),",fanta=18[$25],soup=2[$1],water=43[$200],lip stick=46[$40],banana=39[$2]",default,default,10970,0DEmK0sDCijSUkrz
Sat May 25 2013 06:42:51 GMT+1000 (Australian Eastern Standard Time),",water=19[$200],soup=5[$1],lip stick=8[$40],bread=42[$2],coke=43[$10],banana=36[$2],fanta=29[$25],apple=50[$3]",default,default,5586,0DtWMdSvVKEOOycY
Wed Nov 25 2020 01:31:58 GMT+1100 (Australian Eastern Daylight Time),",water=40[$200],fanta=7[$25],lip stick=49[$40],soup=5[$1],coke=23[$10],banana=37[$2],apple=27[$3],bread=18[$2]",default,default,10561,0FQKoxbHlT73ktGH
Mon Jul 01 2019 01:58:14 GMT+1000 (Australian Eastern Standard Time),",coke=30[$10],banana=42[$2],bread=16[$2],lip stick=13[$40],apple=20[$3]",default,default,996,0JZsDfF1FpZekGhK
Sat Dec 24 2016 05:55:59 GMT+1100 (Australian Eastern Daylight Time),",coke=14[$10],soup=24[$1],bread=3[$2],apple=34[$3],water=40[$200],banana=38[$2],fanta=13[$25]",default,default,8673,0KLz4wNqNRe1TVoH
Sun Sep 22 2013 21:06:15 GMT+1000 (Australian Eastern Standard Time),",coke=27[$10],water=45[$200],fanta=44[$25],banana=47[$2],bread=42[$2],apple=18[$3]",default,default,10602,0LFkftyj0SUHKL8X
Sat Oct 31 2020 11:00:23 GMT+1100 (Australian Eastern Daylight Time),",banana=40[$2],apple=19[$3],fanta=23[$25],coke=28[$10],water=29[$200],bread=30[$2],soup=3[$1],lip stick=38[$40]",default,default,8375,0R5EFBphYk7hUAaZ
